Destination ID,Country,apiSku,Product SKU,Plan Name,Data Allowanance,Validity Days,VOICE MIN,DATA,SMS,VALIDITY,BaseCost,markup,finalPrice,currency,Note / QR Code Expiry,status
,India?Bharti Airtel?,eSIM-IN2G-01,eSIM-IN2G-01,"Holiday eSIM 2 India
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,1 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,1 days,2.52,2.52,5.04,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-IN2G-03,eSIM-IN2G-03,"Holiday eSIM 2 India
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,3 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,3 days,6.3,6.3,12.6,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-IN2G-05,eSIM-IN2G-05,"Holiday eSIM 2 India
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,5 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,5 days,10.14,10.14,20.28,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-IN2G-07,eSIM-IN2G-07,"Holiday eSIM 2 India
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,7 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,7 days,13.97,13.97,27.94,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-IN2G-10,eSIM-IN2G-10,"Holiday eSIM 2 India
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,10 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,10 days,19.66,19.66,39.32,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-IN2G-15,eSIM-IN2G-15,"Holiday eSIM 2 India
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,15 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,15 days,29.31,29.31,58.62,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-IN2G-20,eSIM-IN2G-20,"Holiday eSIM 2 India
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,20 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,20 days,38.85,38.85,77.7,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-IN2G-30,eSIM-IN2G-30,"Holiday eSIM 2 India
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,30 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,30 days,58.03,58.03,116.06,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT3G-03,eSIM-INT3G-03,"Holiday eSIM 2 India
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,3 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,3 days,4.07,4.07,8.14,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT3G-05,eSIM-INT3G-05,"Holiday eSIM 2 India
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,5 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,5 days,4.32,4.32,8.64,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT3G-07,eSIM-INT3G-07,"Holiday eSIM 2 India
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,7 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,7 days,4.57,4.57,9.14,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT3G-10,eSIM-INT3G-10,"Holiday eSIM 2 India
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,10 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,10 days,4.82,4.82,9.64,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT3G-15,eSIM-INT3G-15,"Holiday eSIM 2 India
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,15 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,15 days,5.06,5.06,10.12,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT3G-30,eSIM-INT3G-30,"Holiday eSIM 2 India
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,30 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,30 days,5.31,5.31,10.62,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT5G-03,eSIM-INT5G-03,"Holiday eSIM 2 India
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,3 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,3 days,6.8,6.8,13.6,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT5G-05,eSIM-INT5G-05,"Holiday eSIM 2 India
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,5 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,5 days,7.05,7.05,14.1,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT5G-07,eSIM-INT5G-07,"Holiday eSIM 2 India
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,7 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,7 days,7.29,7.29,14.58,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT5G-10,eSIM-INT5G-10,"Holiday eSIM 2 India
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,10 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,10 days,7.54,7.54,15.08,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT5G-15,eSIM-INT5G-15,"Holiday eSIM 2 India
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,15 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,15 days,7.79,7.79,15.58,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT5G-30,eSIM-INT5G-30,"Holiday eSIM 2 India
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,30 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,30 days,8.15,8.15,16.3,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT10G-03,eSIM-INT10G-03,"Holiday eSIM 2 India
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,3 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,3 days,12.49,12.49,24.98,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT10G-05,eSIM-INT10G-05,"Holiday eSIM 2 India
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,5 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,5 days,12.98,12.98,25.96,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT10G-07,eSIM-INT10G-07,"Holiday eSIM 2 India
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,7 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,7 days,13.48,13.48,26.96,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT10G-10,eSIM-INT10G-10,"Holiday eSIM 2 India
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,10 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,10 days,13.97,13.97,27.94,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT10G-15,eSIM-INT10G-15,"Holiday eSIM 2 India
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,15 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,15 days,14.47,14.47,28.94,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT10G-30,eSIM-INT10G-30,"Holiday eSIM 2 India
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,30 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,30 days,14.96,14.96,29.92,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT20G-03,eSIM-INT20G-03,"Holiday eSIM 2 India
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,3 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,3 days,22.02,22.02,44.04,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT20G-05,eSIM-INT20G-05,"Holiday eSIM 2 India
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,5 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,5 days,22.88,22.88,45.76,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT20G-07,eSIM-INT20G-07,"Holiday eSIM 2 India
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,7 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,7 days,23.75,23.75,47.5,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT20G-10,eSIM-INT20G-10,"Holiday eSIM 2 India
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,10 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,10 days,24.61,24.61,49.22,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT20G-15,eSIM-INT20G-15,"Holiday eSIM 2 India
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,15 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,15 days,25.48,25.48,50.96,GBP,QR Code Expiry: 180 days,active
,India?Bharti Airtel?,eSIM-INT20G-30,eSIM-INT20G-30,"Holiday eSIM 2 India
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,30 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,30 days,26.71,26.71,53.42,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT5G-03,eSIM-AAT5G-03,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,3 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,3 days,4.32,4.32,8.64,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT5G-05,eSIM-AAT5G-05,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,5 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,5 days,4.57,4.57,9.14,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT5G-07,eSIM-AAT5G-07,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,7 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,7 days,4.82,4.82,9.64,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT5G-10,eSIM-AAT5G-10,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,10 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,10 days,5.06,5.06,10.12,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT5G-15,eSIM-AAT5G-15,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,15 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,15 days,5.31,5.31,10.62,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT5G-30,eSIM-AAT5G-30,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,30 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,30 days,5.55,5.55,11.1,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT10G-03,eSIM-AAT10G-03,"Holiday eSIM 2 
Asia Multi-Region A 
(Total 10GB)",10GB Total with high speed + FUP 128 Kbps,3 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,3 days,7.79,7.79,15.58,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT10G-05,eSIM-AAT10G-05,"Holiday eSIM 2 
Asia Multi-Region A 
(Total 10GB)",10GB Total with high speed + FUP 128 Kbps,5 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,5 days,8.28,8.28,16.56,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT10G-07,eSIM-AAT10G-07,"Holiday eSIM 2 
Asia Multi-Region A 
(Total 10GB)",10GB Total with high speed + FUP 128 Kbps,7 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,7 days,8.77,8.77,17.54,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT10G-10,eSIM-AAT10G-10,"Holiday eSIM 2 
Asia Multi-Region A 
(Total 10GB)",10GB Total with high speed + FUP 128 Kbps,10 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,10 days,9.27,9.27,18.54,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT10G-15,eSIM-AAT10G-15,"Holiday eSIM 2 
Asia Multi-Region A 
(Total 10GB)",10GB Total with high speed + FUP 128 Kbps,15 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,15 days,9.76,9.76,19.52,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT10G-30,eSIM-AAT10G-30,"Holiday eSIM 2 
Asia Multi-Region A 
(Total 10GB)",10GB Total with high speed + FUP 128 Kbps,30 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,30 days,10.26,10.26,20.52,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT20G-03,eSIM-AAT20G-03,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,3 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,3 days,14.34,14.34,28.68,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT20G-05,eSIM-AAT20G-05,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,5 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,5 days,15.33,15.33,30.66,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT20G-07,eSIM-AAT20G-07,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,7 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,7 days,16.33,16.33,32.66,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT20G-10,eSIM-AAT20G-10,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,10 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,10 days,17.32,17.32,34.64,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT20G-15,eSIM-AAT20G-15,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,15 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,15 days,18.31,18.31,36.62,GBP,QR Code Expiry: 180 days,active
,"China (China Unicom), Hong Kong (SmarTone), Macau (CTM), Singapore (StarHub), Malaysia (Celcom), Thailand (AIS), Indonesia (XL), Vietnam (Viettel, Vinaphone), Philippines (Globe), Japan (KDDI, softbank) Korea (SKT, KT)",eSIM-AAT20G-30,eSIM-AAT20G-30,"Holiday eSIM 2 
Asia Multi-Region A
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,30 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,30 days,19.3,19.3,38.6,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA500M-01,eSIM-EUA500M-01,"Holiday eSIM 2 Europe A
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,1 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,1 days,0.62,0.62,1.24,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA500M-03,eSIM-EUA500M-03,"Holiday eSIM 2 Europe A
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,3 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,3 days,1.05,1.05,2.1,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA500M-05,eSIM-EUA500M-05,"Holiday eSIM 2 Europe A
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,5 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,5 days,1.58,1.58,3.16,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA500M-07,eSIM-EUA500M-07,"Holiday eSIM 2 Europe A
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,7 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,7 days,2.09,2.09,4.18,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA500M-10,eSIM-EUA500M-10,"Holiday eSIM 2 Europe A
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,10 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,10 days,2.84,2.84,5.68,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA500M-15,eSIM-EUA500M-15,"Holiday eSIM 2 Europe A
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,15 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,15 days,4.07,4.07,8.14,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA500M-20,eSIM-EUA500M-20,"Holiday eSIM 2 Europe A
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,20 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,20 days,5.31,5.31,10.62,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA500M-30,eSIM-EUA500M-30,"Holiday eSIM 2 Europe A
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,30 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,30 days,7.79,7.79,15.58,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA1G-01,eSIM-EUA1G-01,"Holiday eSIM 2 Europe A
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,1 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,1 days,0.75,0.75,1.5,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA1G-03,eSIM-EUA1G-03,"Holiday eSIM 2 Europe A
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,3 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,3 days,1.31,1.31,2.62,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA1G-05,eSIM-EUA1G-05,"Holiday eSIM 2 Europe A
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,5 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,5 days,2.09,2.09,4.18,GBP,QR Code Expiry: 180 days,active
,"Croatia, Slovenia, Cyprus, Ireland, Liechtenstein, Malta, Denmark, Italy, Sweden, Austria, Belgium, Bulgaria, the Czech Republic, Estonia, Finland, the French West Indies, Germany, Gibraltar, Greece, Hungary, Iceland, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Reunion, Romania, Slovakia, Spain, the United Kingdom",eSIM-EUA1G-07,eSIM-EUA1G-07,"Holiday eSIM 2 Europe A
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,7 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,7 days,2.71,2.71,5.42,GBP,QR Code Expiry: 180 days,active
